nom_ree,ear_data,ear_max_ree,ear_verif_ree_mwmes,ear_verif_ree_percentual
BELO MONTE,2016-01-14,22.0,1.0,4.55
ITAIPU,2016-01-14,0.0,0.0,0.0
MADEIRA,2016-01-14,290.0,-13.0,-4.48
NORDESTE,2016-01-14,51809.0,2712.0,5.23
NORTE,2016-01-14,15018.0,2274.0,15.14
PARANA,2016-01-14,152257.0,58622.0,38.5
SUDESTE,2016-01-14,50796.0,8823.0,17.37
SUL,2016-01-14,20100.0,19278.0,95.91
TELES PIRES,2016-01-14,0.0,0.0,0.0
BELO MONTE,2016-01-15,22.0,1.0,4.55
ITAIPU,2016-01-15,0.0,0.0,0.0
MADEIRA,2016-01-15,290.0,-11.0,-3.79
NORDESTE,2016-01-15,51809.0,2779.0,5.36
NORTE,2016-01-15,15018.0,2332.0,15.53
PARANA,2016-01-15,152257.0,60302.0,39.61
SUDESTE,2016-01-15,50796.0,8980.0,17.68
SUL,2016-01-15,20100.0,19264.0,95.84
TELES PIRES,2016-01-15,0.0,0.0,0.0
BELO MONTE,2016-01-16,22.0,1.0,4.55
ITAIPU,2016-01-16,0.0,0.0,0.0
MADEIRA,2016-01-16,290.0,-9.0,-3.1
NORDESTE,2016-01-16,51809.0,2858.0,5.52
NORTE,2016-01-16,15018.0,2416.0,16.09
PARANA,2016-01-16,152257.0,62069.0,40.77
SUDESTE,2016-01-16,50796.0,9189.0,18.09
SUL,2016-01-16,20100.0,19219.0,95.62
TELES PIRES,2016-01-16,0.0,0.0,0.0
BELO MONTE,2016-01-17,22.0,1.0,4.55
ITAIPU,2016-01-17,0.0,0.0,0.0
MADEIRA,2016-01-17,290.0,-8.0,-2.76
NORDESTE,2016-01-17,51809.0,2963.0,5.72
NORTE,2016-01-17,15018.0,2505.0,16.68
PARANA,2016-01-17,152257.0,63951.0,42.0
SUDESTE,2016-01-17,50796.0,9383.0,18.47
SUL,2016-01-17,20100.0,19260.0,95.82
TELES PIRES,2016-01-17,0.0,0.0,0.0
BELO MONTE,2016-01-18,22.0,1.0,4.55
ITAIPU,2016-01-18,0.0,0.0,0.0
MADEIRA,2016-01-18,290.0,-7.0,-2.41
NORDESTE,2016-01-18,51809.0,3161.0,6.1
NORTE,2016-01-18,15018.0,2596.0,17.29
PARANA,2016-01-18,152257.0,65814.0,43.23
SUDESTE,2016-01-18,50796.0,9497.0,18.7
SUL,2016-01-18,20100.0,19217.0,95.61
TELES PIRES,2016-01-18,0.0,0.0,0.0
BELO MONTE,2016-01-19,22.0,1.0,4.55
ITAIPU,2016-01-19,0.0,0.0,0.0
MADEIRA,2016-01-19,290.0,-6.0,-2.07
NORDESTE,2016-01-19,51809.0,3421.0,6.6
NORTE,2016-01-19,15018.0,2678.0,17.83
PARANA,2016-01-19,152257.0,67539.0,44.36
SUDESTE,2016-01-19,50796.0,9598.0,18.9
SUL,2016-01-19,20100.0,19182.0,95.43
TELES PIRES,2016-01-19,0.0,0.0,0.0
BELO MONTE,2016-01-20,22.0,1.0,4.55
ITAIPU,2016-01-20,0.0,0.0,0.0
MADEIRA,2016-01-20,290.0,-6.0,-2.07
NORDESTE,2016-01-20,51809.0,3815.0,7.36
NORTE,2016-01-20,15018.0,2785.0,18.54
