data,NORDESTE_nivel,NORTE_nivel,SUDESTE_nivel,SUL_nivel,NORDESTE_ena,NORTE_ena,SUDESTE_ena,SUL_ena,NORDESTE_chuva,NORTE_chuva,SUDESTE_chuva,SUL_chuva,NORDESTE_temperatura,NORTE_temperatura,SUDESTE_temperatura,SUL_temperatura,NORDESTE_carga,NORTE_carga,SUDESTE_carga,SUL_carga,NORDESTE_nivel_slope_7d,NORTE_nivel_slope_7d,SUDESTE_nivel_slope_7d,SUL_nivel_slope_7d,NORDESTE_nivel_slope_15d,NORTE_nivel_slope_15d,SUDESTE_nivel_slope_15d,SUL_nivel_slope_15d,NORDESTE_nivel_slope_30d,NORTE_nivel_slope_30d,SUDESTE_nivel_slope_30d,SUL_nivel_slope_30d,NORDESTE_ena_slope_7d,NORTE_ena_slope_7d,SUDESTE_ena_slope_7d,SUL_ena_slope_7d,NORDESTE_ena_slope_15d,NORTE_ena_slope_15d,SUDESTE_ena_slope_15d,SUL_ena_slope_15d,NORDESTE_ena_slope_30d,NORTE_ena_slope_30d,SUDESTE_ena_slope_30d,SUL_ena_slope_30d,NORDESTE_chuva_acc_15d,NORTE_chuva_acc_15d,SUDESTE_chuva_acc_15d,SUL_chuva_acc_15d,NORDESTE_delta_nivel_30d,NORTE_delta_nivel_30d,SUDESTE_delta_nivel_30d,SUL_delta_nivel_30d,NORDESTE_delta_ena_30d,NORTE_delta_ena_30d,SUDESTE_delta_ena_30d,SUL_delta_ena_30d,NORDESTE_delta_carga_30d,NORTE_delta_carga_30d,SUDESTE_delta_carga_30d,SUL_delta_carga_30d,bandeira,bandeira_code,mes_sin,mes_cos,bandeira_prox_mes
2016-01-31,17.21,29.45,24.05,93.07,15092.0,13548.0,77186.0,11436.0,6.2,13.8,0.0,105.6,26.405263157894737,26.75294117647059,24.89375,23.44375,9245.397699145,5020.95247418,35548.1185034,10192.66256187,0.7939285714285715,1.1974999999999998,0.4264285714285716,-0.13678571428571473,0.8899999999999999,0.86225,0.41957142857142865,-0.25407142857142845,0.43406229143492764,0.4743426028921023,0.25122580645161285,-0.18366407119021133,58.25,1007.5714285714286,-2956.928571428571,237.0,931.9107142857143,695.4857142857143,-2367.9249999999997,-378.05357142857144,509.9303670745272,359.4747497219132,1663.835150166852,-552.6927697441603,143.20000000000002,219.0,208.0,320.2,12.330000000000002,14.6,6.91,-5.050000000000011,11677.0,11670.0,26971.0,-11819.0,837.8024632050001,464.1568908499994,4605.186017300002,2545.7618952000003,Vermelha P1,2,0.49999999999999994,0.8660254037844387,Vermelha P2
2016-02-01,17.9,30.88,24.29,94.77,14940.0,14122.0,73177.0,19586.0,6.2,3.4,0.0,85.0,27.002,26.54225352112676,25.485416666666666,22.377777777777776,9663.07083333,5104.24733333,41002.00097825,11383.22266667,0.7407142857142857,1.3214285714285712,0.4064285714285715,0.16607142857142776,0.8927499999999998,0.9302857142857144,0.42207142857142854,-0.18200000000000022,0.47371523915461616,0.5297196885428253,0.27040266963292553,-0.1707697441601779,-92.5,975.7857142857142,-2741.535714285714,1385.2142857142856,821.9178571428571,749.7571428571429,-2820.596428571428,-26.546428571428567,529.6420467185761,394.66763070077866,1416.1426028921023,-454.00133481646276,140.2,212.6,146.0,405.2,13.059999999999999,16.02,7.079999999999998,-2.9000000000000057,11598.0,12238.0,21240.0,-4914.0,617.9100344500002,360.2014166600002,8080.751254030001,3205.453375000001,Vermelha P2,3,0.8660254037844386,0.5000000000000001,Vermelha P2
2016-02-02,18.65,31.99,24.42,96.43,15225.0,14467.0,68421.0,22698.0,4.6,22.4,5.0,12.6,26.77735849056604,26.42957746478873,24.82708333333333,21.554794520547944,9800.671875,5146.07195833,42389.20180716,11398.11020833,0.7057142857142855,1.3732142857142853,0.34750000000000014,0.5317857142857143,0.8816071428571426,0.9927857142857143,0.41360714285714295,-0.07067857142857155,0.5121201334816461,0.5852680756395995,0.2878197997775306,-0.1480823136818687,-119.28571428571428,860.25,-3007.785714285714,2467.8571428571427,695.9642857142858,783.0392857142857,-3195.7214285714285,356.4392857142857,544.5699666295885,427.0273637374861,1138.8743047830924,-341.21846496106787,127.00000000000001,213.8,142.8,417.8,13.849999999999998,17.11,7.130000000000003,-0.9199999999999875,12095.0,12527.0,14953.0,-617.0,755.0375617099999,430.0424166599996,11055.793857180004,3249.1587499999996,Vermelha P2,3,0.8660254037844386,0.5000000000000001,Vermelha P2
2016-02-03,19.56,32.98,24.56,96.85,15574.0,14249.0,64655.0,20022.0,5.0,17.2,3.4,18.0,27.047727272727272,25.6875,24.21875,21.91351351351351,9934.43333333,5090.46941667,42666.16197499,11819.01904167,0.7153571428571426,1.3546428571428564,0.2857142857142857,0.8049999999999992,0.8626785714285713,1.0429642857142856,0.39392857142857146,0.04307142857142842,0.5501646273637374,0.6383492769744158,0.3026229143492769,-0.12179310344827589,-40.464285714285715,657.2142857142857,-3256.0,2757.928571428571,554.0428571428572,782.8214285714284,-3485.075,618.2607142857142,555.0438264738598,452.5793103448275,837.8560622914348,-260.3704115684093,121.80000000000001,227.8,115.6,435.8,14.77,18.279999999999998,7.32,-0.5700000000000074,12636.0,12284.0,10143.0,-1126.0,-252.5075694499992,-84.89916665999954,6555.136565649998,1495.3539166700011,Vermelha P2,3,0.8660254037844386,0.5000000000000001,Vermelha P2
2016-02-04,20.27,33.83,24.71,97.21,15841.0,13728.0,61606.0,18192.0,2.0,25.2,0.0,33.6,28.119565217391305,26.42063492063492,23.52083333333333,21.85,10061.71004167,5043.90933333,41914.5359941,11915.95775,0.7382142857142856,1.2671428571428565,0.22964285714285712,0.9478571428571415,0.8369285714285715,1.0805714285714283,0.36692857142857144,0.15303571428571383,0.5862180200222471,0.6878153503893214,0.3145161290322581,-0.09216907675194665,84.67857142857143,390.0357142857143,-3588.8214285714284,2412.4642857142862,408.1357142857143,745.1214285714285,-3634.332142857142,789.1035714285713,562.0387096774193,469.5870967741935,516.4055617352611,-202.89677419354837,103.2,231.6,105.79999999999998,469.4,15.48,19.269999999999996,7.560000000000002,-0.3200000000000074,12842.0,11722.0,6550.0,-1206.0,-101.05300723999972,-190.44816667000032,4566.512134559998,867.8034166699999,Vermelha P2,3,0.8660254037844386,0.5000000000000001,Vermelha P2
2016-02-05,21.01,34.49,24.82,97.45,15894.0,13099.0,59594.0,16902.0,0.4,33.2,1.4,31.4,28.555319148936167,26.301408450704223,24.15625,23.751764705882355,10115.151875,5027.326625,41549.36803782,12139.77470833,0.7546428571428573,1.1185714285714283,0.17785714285714274,0.9110714285714282,0.8087142857142857,1.1052142857142857,0.3365,0.25110714285714264,0.6199510567296996,0.7324827586206896,0.3236863181312569,-0.06264738598442725,171.17857142857142,64.85714285714285,-3601.0,1493.8214285714284,272.87857142857143,671.7321428571428,-3610.6714285714284,884.9964285714284,566.7512791991101,477.42469410456056,181.62558398220256,-158.47119021134594,76.39999999999999,257.6,107.0,500.8,16.25,20.0,7.68,0.18000000000000682,12447.0,11078.0,4166.0,-1733.0,-48.78637162999985,-293.6167083300006,3852.2059351200005,591.3879583300004,Vermelha P2,3,0.8660254037844386,0.5000000000000001,Vermelha P2
2016-02-06,21.62,35.24,24.92,97.55,15986.0,12386.0,57954.0,15866.0,0.0,33.6,17.0,4.2,28.858139534883723,26.515277777777776,23.61458333333333,23.09166666666667,9486.253,4889.91783333,37061.25025313,10459.865375,0.7525000000000002,0.9439285714285719,0.14142857142857157,0.6992857142857147,0.7787142857142857,1.117071428571428,0.3059642857142858,0.33046428571428527,0.6510789766407118,0.772607341490545,0.32960177975528365,-0.034008898776418314,185.92857142857142,-223.9642857142857,-3274.178571428571,122.0,181.2071428571428,564.6857142857142,-3451.4857142857145,912.592857142857,570.7123470522803,476.16774193548383,-165.23692992213566,-124.73770856507228,60.2,290.4,123.0,500.0,16.76,20.82,7.850000000000001,0.4899999999999949,11931.0,10302.0,2475.0,-2076.0,-581.8602649299992,-440.7367083400004,-1804.9737975899989,-1394.4724583300012,Vermelha P2,3,0.8660254037844386,0.5000000000000001,Vermelha P2
2016-02-07,22.41,36.5,25.05,97.85,16176.0,11662.0,56521.0,15093.0,0.2,37.0,0.2,29.4,28.56428571428572,27.09583333333333,23.347916666666663,23.472916666666663,8639.56875,4686.65704167,33187.83464391,9124.87308333,0.7471428571428576,0.8882142857142862,0.12642857142857164,0.43142857142857083,0.7616785714285715,1.1304285714285713,0.28025,0.3959999999999994,0.6803982202447163,0.8114593993325917,0.33210456062291427,-0.004618464961067968,198.2142857142857,-453.2857142857143,-2712.964285714286,-1080.8214285714284,129.6714285714286,429.1071428571429,-3206.235714285714,878.4714285714286,571.6941045606228,466.4767519466073,-522.101001112347,-98.26073414905449,40.6,325.0,123.2,529.2,17.47,22.1,8.09,0.9299999999999926,11961.0,9459.0,992.0,-2386.0,-1337.1625303399996,-577.8188749999999,-6371.914707870004,-2630.3871666699997,Vermelha P2,3,0.8660254037844386,0.5000000000000001,Vermelha P2
2016-02-08,23.05,37.53,25.15,97.26,16477.0,10865.0,55711.0,14192.0,2.0,24.8,0.0,1.2000000000000002,28.118604651162787,27.231944444444444,23.946666666666665,25.14270833333333,8713.23845833,4889.01195833,35478.19042207,11307.742125,0.723214285714286,0.8953571428571434,0.12071428571428555,0.17249999999999993,0.7462857142857142,1.1337142857142857,0.25357142857142856,0.43342857142857116,0.7066251390433814,0.8482269187986651,0.3317908787541713,0.020551724137930945,182.32142857142856,-618.6428571428571,-2073.214285714286,-1346.5,90.17142857142856,276.94999999999993,-2967.8428571428567,783.8642857142858,568.9579532814238,448.62135706340376,-875.7357063403783,-79.11434927697437,42.6,334.8,115.2,530.4,18.03,22.97,8.169999999999998,0.3400000000000034,12311.0,8490.0,-1108.0,-2913.0,-527.77359101,-109.62204166999982,-888.101604800002,1000.9045000000006,Vermelha P2,3,0.8660254037844386,0.5000000000000001,Vermelha P2
2016-02-09,23.81,38.37,25.26,97.14,16523.0,9994.0,55083.0,12874.0,0.8,4.4,0.0,88.8,27.92325581395349,28.48169014084507,22.8,25.884375,8737.428625,4857.07433333,35872.30107881,11508.07508333,0.7039285714285715,0.9135714285714287,0.1146428571428573,0.048928571428572605,0.73475,1.1146428571428573,0.22410714285714295,0.4457857142857142,0.7300778642936596,0.8816418242491657,0.32924137931034486,0.04114126807563951,157.17857142857142,-711.7142857142857,-1556.392857142857,-1116.1785714285713,83.06785714285714,107.87857142857145,-2760.907142857143,622.0035714285714,558.2892102335928,422.8173526140156,-1223.1221357063403,-52.492324805339244,43.199999999999996,321.59999999999997,115.0,610.8000000000001,18.74,23.599999999999998,8.180000000000003,0.75,12756.0,7409.0,-3158.0,-6360.0,349.95281349000106,28.719666659999348,2511.0168389000028,2461.8851666600003,Vermelha P2,3,0.8660254037844386,0.5000000000000001,Vermelha P2
2016-02-10,24.54,38.51,25.34,97.02,16697.0,9312.0,54324.0,12543.0,1.0,54.4,0.0,27.6,28.40952380952381,28.4625,24.579166666666666,24.582291666666663,9533.18220833,5230.03495833,41050.72506354,12684.59266667,0.7085714285714283,0.8603571428571424,0.10714285714285701,-0.05285714285714249,0.7274285714285714,1.0652142857142857,0.1923214285714286,0.42760714285714263,0.7496952169076749,0.906080088987764,0.3238442714126807,0.05600222469410444,154.17857142857142,-749.25,-1182.5357142857142,-952.75,95.36071428571428,-64.47142857142858,-2583.803571428571,435.8821428571428,541.205339265851,391.2409343715239,-1553.131256952169,-11.92769744160178,41.0,358.0,93.4,615.4,19.5,23.65,8.219999999999999,1.2999999999999972,13200.0,6448.0,-6943.0,-8612.0,-180.30371517999993,-167.27491666999958,1549.6324461100012,837.9195416700004,Vermelha P2,3,0.8660254037844386,0.5000000000000001,Vermelha P2
