data,regiao,carga
2016-06-03,NORDESTE,10251.508
2016-06-04,NORDESTE,9644.67595833
2016-06-05,NORDESTE,9080.71554167
2016-06-06,NORDESTE,10344.97741667
2016-06-07,NORDESTE,10563.01520833
2016-06-08,NORDESTE,10730.51816667
2016-06-09,NORDESTE,10810.067875
2016-06-10,NORDESTE,10663.87325
2016-06-11,NORDESTE,10009.21495833
2016-06-12,NORDESTE,9142.74741667
2016-06-13,NORDESTE,10040.60108333
2016-06-14,NORDESTE,9993.03004167
2016-06-15,NORDESTE,10001.24270833
2016-06-16,NORDESTE,10006.47404167
2016-06-17,NORDESTE,10038.05725
2016-06-18,NORDESTE,9588.79329167
2016-06-19,NORDESTE,8828.3205
2016-06-20,NORDESTE,9818.55908333
2016-06-21,NORDESTE,10079.4735
2016-06-22,NORDESTE,10024.831375
2016-06-23,NORDESTE,9656.152
2016-06-24,NORDESTE,8928.83958333
2016-06-25,NORDESTE,8967.14958333
2016-06-26,NORDESTE,8300.58829167
2016-06-27,NORDESTE,9402.35916667
2016-06-28,NORDESTE,9450.921875
2016-06-29,NORDESTE,9544.36779167
2016-06-30,NORDESTE,9924.686754585
2016-07-01,NORDESTE,9596.820125
2016-07-02,NORDESTE,9074.12870833
2016-07-03,NORDESTE,8537.101
2016-07-04,NORDESTE,9460.433
2016-07-05,NORDESTE,9559.2325
2016-07-06,NORDESTE,9711.67779167
2016-07-07,NORDESTE,9869.861375
2016-07-08,NORDESTE,10008.136375
2016-07-09,NORDESTE,9331.581
2016-07-10,NORDESTE,8546.727125
2016-07-11,NORDESTE,9612.38508333
2016-07-12,NORDESTE,9964.08675
2016-07-13,NORDESTE,10035.93341667
2016-07-14,NORDESTE,9996.35495833
2016-07-15,NORDESTE,10051.981625
2016-07-16,NORDESTE,9550.6375
2016-07-17,NORDESTE,8913.29841667
2016-07-18,NORDESTE,10072.388625
2016-07-19,NORDESTE,10193.98595833
2016-07-20,NORDESTE,10017.07679167
2016-07-21,NORDESTE,9997.19566667
2016-07-22,NORDESTE,9875.625875
2016-07-23,NORDESTE,9349.972375
2016-07-24,NORDESTE,8585.97116667
2016-07-25,NORDESTE,9552.8735
2016-07-26,NORDESTE,9665.68625
2016-07-27,NORDESTE,9811.130625
2016-07-28,NORDESTE,9851.13108333
2016-07-29,NORDESTE,9789.39958333
2016-07-30,NORDESTE,9187.55479167
2016-07-31,NORDESTE,9180.245613309999
2016-08-01,NORDESTE,9449.96270833
2016-08-02,NORDESTE,9789.428125
2016-08-03,NORDESTE,9887.01704167
2016-08-04,NORDESTE,9864.0516208
2016-08-05,NORDESTE,9664.30425
2016-08-06,NORDESTE,9223.60595833
2016-08-07,NORDESTE,8519.724125
2016-08-08,NORDESTE,9724.79566667
2016-08-09,NORDESTE,9907.22695833
2016-08-10,NORDESTE,10053.23325
2016-08-11,NORDESTE,10107.53141667
2016-08-12,NORDESTE,9946.18354167
2016-08-13,NORDESTE,9353.24691667
2016-08-14,NORDESTE,8603.92591667
2016-08-15,NORDESTE,9795.24429167
2016-08-16,NORDESTE,10274.439
2016-08-17,NORDESTE,10370.440375
2016-08-18,NORDESTE,10293.768875
2016-08-19,NORDESTE,10143.4265
2016-08-20,NORDESTE,9496.69429167
2016-08-21,NORDESTE,8673.86175
2016-08-22,NORDESTE,9981.41675
2016-08-23,NORDESTE,10085.62216667
2016-08-24,NORDESTE,9922.92716667
2016-08-25,NORDESTE,9763.69666667
2016-08-26,NORDESTE,9782.65933333
2016-08-27,NORDESTE,9204.30045833
2016-08-28,NORDESTE,8404.14995833
2016-08-29,NORDESTE,9588.19920833
2016-08-30,NORDESTE,9904.74733333
2016-08-31,NORDESTE,10070.867592024999
2016-09-01,NORDESTE,9988.35883333
2016-09-02,NORDESTE,9928.27695833
2016-09-03,NORDESTE,9290.85025
2016-09-04,NORDESTE,8550.84425
2016-09-05,NORDESTE,9683.41895833
2016-09-06,NORDESTE,9858.14595833
2016-09-07,NORDESTE,9016.53229167
2016-09-08,NORDESTE,9938.56575
2016-09-09,NORDESTE,10002.29445833
2016-09-10,NORDESTE,9395.71383333
2016-09-11,NORDESTE,8610.29495833
2016-09-12,NORDESTE,9751.56545833
2016-09-13,NORDESTE,10034.17258333
2016-09-14,NORDESTE,10128.66841667
2016-09-15,NORDESTE,10222.96683333
2016-09-16,NORDESTE,10328.36954167
2016-09-17,NORDESTE,9767.74829167
2016-09-18,NORDESTE,8936.46079167
2016-09-19,NORDESTE,10122.03641667
2016-09-20,NORDESTE,10529.19604167
2016-09-21,NORDESTE,10765.0765
2016-09-22,NORDESTE,10714.619
2016-09-23,NORDESTE,10516.39991667
2016-09-24,NORDESTE,9836.50525
2016-09-25,NORDESTE,9095.343625
2016-09-26,NORDESTE,10276.45733333
2016-09-27,NORDESTE,10527.67295833
2016-09-28,NORDESTE,10320.56758333
2016-09-29,NORDESTE,10314.94216667
2016-09-30,NORDESTE,10432.356321505
2016-10-01,NORDESTE,9996.32654167
2016-10-02,NORDESTE,8809.05766667
2016-10-03,NORDESTE,10025.70354167
2016-10-04,NORDESTE,10555.03970833
2016-10-05,NORDESTE,10766.00191667
2016-10-06,NORDESTE,10862.1125
2016-10-07,NORDESTE,10761.422625
2016-10-08,NORDESTE,10056.03141667
2016-10-09,NORDESTE,9176.89333333
2016-10-10,NORDESTE,10263.64666667
2016-10-11,NORDESTE,10362.612
2016-10-12,NORDESTE,9237.72204167
2016-10-13,NORDESTE,10374.74204167
2016-10-14,NORDESTE,10458.611375
2016-10-15,NORDESTE,9820.16241667
2016-10-16,NORDESTE,9130.30917391
2016-10-17,NORDESTE,10236.697
2016-10-18,NORDESTE,10647.59225
2016-10-19,NORDESTE,10728.46395833
2016-10-20,NORDESTE,10835.7215
2016-10-21,NORDESTE,10600.0935
2016-10-22,NORDESTE,9773.53433333
2016-10-23,NORDESTE,9055.64720833
2016-10-24,NORDESTE,10264.127125
2016-10-25,NORDESTE,10596.89733333
2016-10-26,NORDESTE,10608.43279167
2016-10-27,NORDESTE,10638.52520833
2016-10-28,NORDESTE,10588.77354167
2016-10-29,NORDESTE,10316.99045833
2016-10-30,NORDESTE,9373.39066667
2016-10-31,NORDESTE,10565.92932746
2016-11-01,NORDESTE,10462.74941667
2016-11-02,NORDESTE,9478.25408333
2016-11-03,NORDESTE,10462.74233333
2016-11-04,NORDESTE,10534.24795833
2016-11-05,NORDESTE,9921.81275
2016-11-06,NORDESTE,9188.9045
2016-11-07,NORDESTE,10265.58266667
2016-11-08,NORDESTE,10453.317375
2016-11-09,NORDESTE,10555.955625
2016-11-10,NORDESTE,10699.314875
2016-11-11,NORDESTE,10630.31120417
2016-11-12,NORDESTE,10047.71708333
2016-11-13,NORDESTE,9109.66283333
2016-11-14,NORDESTE,10025.783875
2016-11-15,NORDESTE,9464.84158333
2016-11-16,NORDESTE,10441.287125
2016-11-17,NORDESTE,10483.25604167
2016-11-18,NORDESTE,10612.80195833
2016-11-19,NORDESTE,9973.62841667
2016-11-20,NORDESTE,8996.43741667
2016-11-21,NORDESTE,10073.51575
2016-11-22,NORDESTE,10469.41308333
2016-11-23,NORDESTE,10663.10341667
2016-11-24,NORDESTE,10788.938125
2016-11-25,NORDESTE,10797.095875
2016-11-26,NORDESTE,10130.02508333
2016-11-27,NORDESTE,9317.19395833
2016-11-28,NORDESTE,10559.481625
2016-11-29,NORDESTE,10862.3625
2016-11-30,NORDESTE,10903.790783215001
2016-12-01,NORDESTE,10933.65341667
2016-12-02,NORDESTE,10809.36829167
2016-12-03,NORDESTE,10336.634625
2016-12-04,NORDESTE,9535.85558333
2016-12-05,NORDESTE,10855.16716667
2016-12-06,NORDESTE,11040.922875
2016-12-07,NORDESTE,11125.02054167
2016-12-08,NORDESTE,10768.81679167
2016-12-09,NORDESTE,10820.73195833
2016-12-10,NORDESTE,10272.54816667
2016-12-11,NORDESTE,9547.73483333
2016-12-12,NORDESTE,10797.98470833
2016-12-13,NORDESTE,10785.291625
2016-12-14,NORDESTE,10702.552
2016-12-15,NORDESTE,10665.17483333
2016-12-16,NORDESTE,10292.04358333
2016-12-17,NORDESTE,9648.00704167
2016-12-18,NORDESTE,8762.85591667
2016-12-19,NORDESTE,9890.07420833
2016-12-20,NORDESTE,10087.2365
2016-12-21,NORDESTE,10123.08908333
2016-12-22,NORDESTE,10210.98104167
2016-12-23,NORDESTE,10160.875125
2016-12-24,NORDESTE,9462.68558333
2016-12-25,NORDESTE,8752.219375
2016-12-26,NORDESTE,10174.819625
2016-12-27,NORDESTE,10403.61820833
2016-12-28,NORDESTE,10282.13216667
2016-12-29,NORDESTE,10108.271125
2016-12-30,NORDESTE,9949.91120833
2016-12-31,NORDESTE,10084.168529999999
2017-01-01,NORDESTE,8634.615125
2017-01-02,NORDESTE,10103.16820833
2017-01-03,NORDESTE,10690.63341667
2017-01-04,NORDESTE,10804.62370833
2017-01-05,NORDESTE,10759.26408333
2017-01-06,NORDESTE,10645.235625
2017-01-07,NORDESTE,10107.50054167
2017-01-08,NORDESTE,9380.08916667
2017-01-09,NORDESTE,10667.257125
2017-01-10,NORDESTE,10933.38583333
2017-01-11,NORDESTE,10872.43908333
2017-01-12,NORDESTE,10942.401375
2017-01-13,NORDESTE,10877.101875
2017-01-14,NORDESTE,10444.03954167
2017-01-15,NORDESTE,9626.90875
2017-01-16,NORDESTE,10709.17054167
2017-01-17,NORDESTE,10743.01258333
2017-01-18,NORDESTE,10954.94441667
2017-01-19,NORDESTE,10957.39908333
2017-01-20,NORDESTE,10948.49508333
2017-01-21,NORDESTE,10343.175625
2017-01-22,NORDESTE,9593.845875
2017-01-23,NORDESTE,10709.25545833
2017-01-24,NORDESTE,10824.018625
2017-01-25,NORDESTE,10980.79266667
2017-01-26,NORDESTE,10942.70929167
2017-01-27,NORDESTE,10980.0525
2017-01-28,NORDESTE,10206.349625
2017-01-29,NORDESTE,9445.18704167
2017-01-30,NORDESTE,10786.14683333
2017-01-31,NORDESTE,10963.386539215
2017-02-01,NORDESTE,11156.538625
2017-02-02,NORDESTE,11123.91120833
2017-02-03,NORDESTE,11080.39858333
2017-02-04,NORDESTE,10439.33625
2017-02-05,NORDESTE,9654.99520833
2017-02-06,NORDESTE,11010.43510758
2017-02-07,NORDESTE,11249.063375
2017-02-08,NORDESTE,11263.79179167
2017-02-09,NORDESTE,11209.60375
2017-02-10,NORDESTE,10975.22658333
2017-02-11,NORDESTE,10205.75025
2017-02-12,NORDESTE,9225.69829167
2017-02-13,NORDESTE,10396.033375
2017-02-14,NORDESTE,10602.63345833
2017-02-15,NORDESTE,10673.43775
2017-02-16,NORDESTE,10877.69845833
2017-02-17,NORDESTE,11046.38925
2017-02-18,NORDESTE,10442.91333333
2017-02-19,NORDESTE,9616.31658333
2017-02-20,NORDESTE,10698.92441667
2017-02-21,NORDESTE,10635.97208333
2017-02-22,NORDESTE,10663.337875
2017-02-23,NORDESTE,10896.49420833
2017-02-24,NORDESTE,10949.40383333
2017-02-25,NORDESTE,10260.466
2017-02-26,NORDESTE,9518.7195
2017-02-27,NORDESTE,9580.732
2017-02-28,NORDESTE,10171.04993105
2017-03-01,NORDESTE,10211.31745833
2017-03-02,NORDESTE,10801.88895833
2017-03-03,NORDESTE,10741.40970833
2017-03-04,NORDESTE,10218.345375
2017-03-05,NORDESTE,9679.95275
2017-03-06,NORDESTE,10934.1985
2017-03-07,NORDESTE,11199.95325
2017-03-08,NORDESTE,11297.94775
2017-03-09,NORDESTE,11185.78095833
2017-03-10,NORDESTE,11029.41220833
2017-03-11,NORDESTE,10562.93570833
2017-03-12,NORDESTE,9773.13066667
2017-03-13,NORDESTE,10859.85383333
2017-03-14,NORDESTE,11011.64904167
2017-03-15,NORDESTE,11013.34858333
2017-03-16,NORDESTE,11010.95975
2017-03-17,NORDESTE,10856.464125
2017-03-18,NORDESTE,10278.77395833
2017-03-19,NORDESTE,9649.704875
2017-03-20,NORDESTE,10969.28825
2017-03-21,NORDESTE,11382.80283333
2017-03-22,NORDESTE,11241.26133333
2017-03-23,NORDESTE,11085.31970833
2017-03-24,NORDESTE,10943.84879167
2017-03-25,NORDESTE,10417.979375
2017-03-26,NORDESTE,9814.42629167
2017-03-27,NORDESTE,11046.29454167
