data,subsistema,ena
2016-02-14,SUL,11212.0
2016-02-15,NORDESTE,16841.0
2016-02-15,NORTE,8034.0
2016-02-15,SUDESTE,53231.0
2016-02-15,SUL,11492.0
2016-02-16,NORDESTE,16581.0
2016-02-16,NORTE,7975.0
2016-02-16,SUDESTE,52795.0
2016-02-16,SUL,11618.0
2016-02-17,NORDESTE,16229.0
2016-02-17,NORTE,7917.0
2016-02-17,SUDESTE,52941.0
2016-02-17,SUL,12297.0
2016-02-18,NORDESTE,15672.0
2016-02-18,NORTE,7844.0
2016-02-18,SUDESTE,53037.0
2016-02-18,SUL,12326.0
2016-02-19,NORDESTE,14701.0
2016-02-19,NORTE,7756.0
2016-02-19,SUDESTE,53341.0
2016-02-19,SUL,11360.0
2016-02-20,NORDESTE,13364.0
2016-02-20,NORTE,7701.0
2016-02-20,SUDESTE,53575.0
2016-02-20,SUL,10607.0
2016-02-21,NORDESTE,12003.0
2016-02-21,NORTE,7624.0
2016-02-21,SUDESTE,54785.0
2016-02-21,SUL,10773.0
2016-02-22,NORDESTE,10781.0
2016-02-22,NORTE,7589.0
2016-02-22,SUDESTE,56844.0
2016-02-22,SUL,10982.0
2016-02-23,NORDESTE,9743.0
2016-02-23,NORTE,7521.0
2016-02-23,SUDESTE,58323.0
2016-02-23,SUL,11394.0
2016-02-24,NORDESTE,8967.0
2016-02-24,NORTE,7447.0
2016-02-24,SUDESTE,60390.0
2016-02-24,SUL,11458.0
2016-02-25,NORDESTE,8342.0
2016-02-25,NORTE,7348.0
2016-02-25,SUDESTE,62219.0
2016-02-25,SUL,12177.0
2016-02-26,NORDESTE,7813.0
2016-02-26,NORTE,7291.0
2016-02-26,SUDESTE,63085.0
2016-02-26,SUL,12810.0
2016-02-27,NORDESTE,7399.0
2016-02-27,NORTE,7258.0
2016-02-27,SUDESTE,64170.0
2016-02-27,SUL,15252.0
2016-02-28,NORDESTE,7060.0
2016-02-28,NORTE,7279.0
2016-02-28,SUDESTE,66587.0
2016-02-28,SUL,17650.0
2016-02-29,NORDESTE,6759.0
2016-02-29,NORTE,7298.0
2016-02-29,SUDESTE,68928.0
2016-02-29,SUL,16810.0
2016-03-01,NORDESTE,6487.0
2016-03-01,NORTE,7291.0
2016-03-01,SUDESTE,70287.0
2016-03-01,SUL,14799.0
2016-03-02,NORDESTE,6222.0
2016-03-02,NORTE,7263.0
2016-03-02,SUDESTE,71121.0
2016-03-02,SUL,13434.0
2016-03-03,NORDESTE,5981.0
2016-03-03,NORTE,7188.0
2016-03-03,SUDESTE,72418.0
2016-03-03,SUL,17220.0
2016-03-04,NORDESTE,5762.0
2016-03-04,NORTE,7175.0
2016-03-04,SUDESTE,71283.0
2016-03-04,SUL,20421.0
2016-03-05,NORDESTE,5573.0
2016-03-05,NORTE,7204.0
2016-03-05,SUDESTE,69714.0
2016-03-05,SUL,19181.0
2016-03-06,NORDESTE,5401.0
2016-03-06,NORTE,7342.0
2016-03-06,SUDESTE,68762.0
2016-03-06,SUL,17098.0
2016-03-07,NORDESTE,5249.0
2016-03-07,NORTE,7578.0
2016-03-07,SUDESTE,68894.0
2016-03-07,SUL,15266.0
2016-03-08,NORDESTE,5103.0
2016-03-08,NORTE,7945.0
2016-03-08,SUDESTE,69426.0
2016-03-08,SUL,14146.0
2016-03-09,NORDESTE,4939.0
2016-03-09,NORTE,8362.0
2016-03-09,SUDESTE,70269.0
2016-03-09,SUL,14404.0
2016-03-10,NORDESTE,4751.0
2016-03-10,NORTE,8838.0
2016-03-10,SUDESTE,72164.0
2016-03-10,SUL,17614.0
2016-03-11,NORDESTE,4541.0
2016-03-11,NORTE,9293.0
2016-03-11,SUDESTE,72427.0
2016-03-11,SUL,18865.0
2016-03-12,NORDESTE,4332.0
2016-03-12,NORTE,9624.0
2016-03-12,SUDESTE,71993.0
2016-03-12,SUL,17655.0
2016-03-13,NORDESTE,4161.0
2016-03-13,NORTE,9881.0
2016-03-13,SUDESTE,72122.0
2016-03-13,SUL,15692.0
2016-03-14,NORDESTE,4046.0
2016-03-14,NORTE,10013.0
2016-03-14,SUDESTE,72096.0
2016-03-14,SUL,13865.0
2016-03-15,NORDESTE,4003.0
2016-03-15,NORTE,10027.0
2016-03-15,SUDESTE,71363.0
2016-03-15,SUL,12300.0
2016-03-16,NORDESTE,4018.0
2016-03-16,NORTE,9986.0
2016-03-16,SUDESTE,70139.0
2016-03-16,SUL,10944.0
2016-03-17,NORDESTE,4096.0
2016-03-17,NORTE,9887.0
2016-03-17,SUDESTE,67809.0
2016-03-17,SUL,9969.0
2016-03-18,NORDESTE,4235.0
2016-03-18,NORTE,9776.0
2016-03-18,SUDESTE,65535.0
2016-03-18,SUL,9074.0
2016-03-19,NORDESTE,4403.0
2016-03-19,NORTE,9656.0
2016-03-19,SUDESTE,63131.0
2016-03-19,SUL,8469.0
2016-03-20,NORDESTE,4575.0
2016-03-20,NORTE,9533.0
2016-03-20,SUDESTE,61082.0
2016-03-20,SUL,8109.0
2016-03-21,NORDESTE,4726.0
2016-03-21,NORTE,9392.0
2016-03-21,SUDESTE,59044.0
2016-03-21,SUL,9311.0
2016-03-22,NORDESTE,4842.0
2016-03-22,NORTE,9332.0
2016-03-22,SUDESTE,57096.0
2016-03-22,SUL,14382.0
2016-03-23,NORDESTE,4914.0
2016-03-23,NORTE,9294.0
2016-03-23,SUDESTE,55181.0
2016-03-23,SUL,16025.0
2016-03-24,NORDESTE,4952.0
2016-03-24,NORTE,9299.0
2016-03-24,SUDESTE,53957.0
2016-03-24,SUL,14249.0
2016-03-25,NORDESTE,4939.0
2016-03-25,NORTE,9342.0
2016-03-25,SUDESTE,53501.0
2016-03-25,SUL,15760.0
2016-03-26,NORDESTE,4888.0
2016-03-26,NORTE,9397.0
2016-03-26,SUDESTE,53926.0
2016-03-26,SUL,21174.0
2016-03-27,NORDESTE,4813.0
2016-03-27,NORTE,9417.0
2016-03-27,SUDESTE,54442.0
2016-03-27,SUL,21340.0
2016-03-28,NORDESTE,4716.0
2016-03-28,NORTE,9443.0
2016-03-28,SUDESTE,54486.0
2016-03-28,SUL,18969.0
2016-03-29,NORDESTE,4616.0
2016-03-29,NORTE,9505.0
2016-03-29,SUDESTE,54244.0
2016-03-29,SUL,16236.0
2016-03-30,NORDESTE,4509.0
2016-03-30,NORTE,9562.0
2016-03-30,SUDESTE,53757.0
2016-03-30,SUL,14412.0
2016-03-31,NORDESTE,4387.0
2016-03-31,NORTE,9614.0
2016-03-31,SUDESTE,53123.0
2016-03-31,SUL,12940.0
2016-04-01,NORDESTE,4254.0
2016-04-01,NORTE,9662.0
2016-04-01,SUDESTE,51838.0
2016-04-01,SUL,12031.0
2016-04-02,NORDESTE,4100.0
2016-04-02,NORTE,9741.0
2016-04-02,SUDESTE,50526.0
2016-04-02,SUL,10988.0
2016-04-03,NORDESTE,3905.0
2016-04-03,NORTE,9726.0
2016-04-03,SUDESTE,49206.0
2016-04-03,SUL,10074.0
2016-04-04,NORDESTE,3711.0
2016-04-04,NORTE,9677.0
2016-04-04,SUDESTE,47741.0
2016-04-04,SUL,9372.0
2016-04-05,NORDESTE,3522.0
2016-04-05,NORTE,9523.0
2016-04-05,SUDESTE,46264.0
2016-04-05,SUL,8672.0
2016-04-06,NORDESTE,3357.0
2016-04-06,NORTE,9314.0
2016-04-06,SUDESTE,44717.0
2016-04-06,SUL,7925.0
2016-04-07,NORDESTE,3231.0
2016-04-07,NORTE,9053.0
2016-04-07,SUDESTE,43110.0
2016-04-07,SUL,7480.0
2016-04-08,NORDESTE,3144.0
2016-04-08,NORTE,8800.0
2016-04-08,SUDESTE,41584.0
2016-04-08,SUL,7194.0
2016-04-09,NORDESTE,3079.0
2016-04-09,NORTE,8604.0
2016-04-09,SUDESTE,40255.0
2016-04-09,SUL,7275.0
2016-04-10,NORDESTE,3036.0
2016-04-10,NORTE,8411.0
2016-04-10,SUDESTE,39041.0
2016-04-10,SUL,7618.0
2016-04-11,NORDESTE,3010.0
2016-04-11,NORTE,8331.0
2016-04-11,SUDESTE,37949.0
2016-04-11,SUL,9139.0
2016-04-12,NORDESTE,2981.0
2016-04-12,NORTE,8326.0
2016-04-12,SUDESTE,36992.0
2016-04-12,SUL,9877.0
2016-04-13,NORDESTE,2947.0
2016-04-13,NORTE,8399.0
2016-04-13,SUDESTE,36068.0
2016-04-13,SUL,10460.0
2016-04-14,NORDESTE,2890.0
2016-04-14,NORTE,8400.0
2016-04-14,SUDESTE,35118.0
2016-04-14,SUL,12058.0
2016-04-15,NORDESTE,2803.0
2016-04-15,NORTE,8459.0
2016-04-15,SUDESTE,34244.0
2016-04-15,SUL,12111.0
2016-04-16,NORDESTE,2686.0
2016-04-16,NORTE,8405.0
2016-04-16,SUDESTE,33678.0
2016-04-16,SUL,10866.0
2016-04-17,NORDESTE,2559.0
2016-04-17,NORTE,8312.0
2016-04-17,SUDESTE,33212.0
2016-04-17,SUL,9659.0
2016-04-18,NORDESTE,2445.0
2016-04-18,NORTE,8132.0
2016-04-18,SUDESTE,32791.0
2016-04-18,SUL,8678.0
2016-04-19,NORDESTE,2340.0
2016-04-19,NORTE,7864.0
2016-04-19,SUDESTE,32461.0
2016-04-19,SUL,7852.0
2016-04-20,NORDESTE,2257.0
